
KUOW Public Radio,2016-07-27,26688,414,5402,32,63,4,10,1,92,0,0 
KUOW Public Radio,2016-07-27,26688,414,5402,1,4,0,0,0,1,0,0 
KUOW Public Radio,2016-07-27,26688,414,5402,8,32,3,1,0,0,0,0 
KUOW Public Radio,2016-07-27,26688,414,5402,8,2,1,0,0,0,0,0 
KUOW Public Radio,2016-07-26,26688,414,5402,4,6,0,0,0,2,0,1 
KUOW Public Radio,2016-07-26,26688,414,5402,4,20,1,0,0,3,0,0 
KUOW Public Radio,2016-07-26,26688,414,5402,4,1,0,0,2,0,0,3 
KUOW Public Radio,2016-07-26,26688,414,5402,109,56,1,18,9,1,0,1 
KUOW Public Radio,2016-07-26,26688,414,5402,1,8,0,0,0,5,0,0 
KUOW Public Radio,2016-07-26,26688,414,5402,1,10,0,2,0,0,0,0 
KUOW Public Radio,2016-07-26,26688,414,5402,7,88,30,1,0,0,0,1 
KUOW Public Radio,2016-07-26,26688,414,5402,7,21,0,0,0,0,0,0 
KUOW Public Radio,2016-07-26,26688,414,5402,9,30,2,0,0,6,0,0 
KUOW Public Radio,2016-07-26,26688,414,5402,9,17,1,0,0,0,0,0 
KUOW Public Radio,2016-07-25,26688,414,5402,4,12,0,1,0,2,0,2 
KUOW Public Radio,2016-07-25,26688,414,5402,4,14,0,0,2,1,0,2 
KUOW Public Radio,2016-07-25,26688,414,5402,4,14,0,0,2,1,0,2 
KUOW Public Radio,2016-07-25,26688,414,5402,1,1,0,0,0,0,0,0 
KUOW Public Radio,2016-07-25,26688,414,5402,2,6,0,0,0,0,0,0 
KUOW Public Radio,2016-07-24,26688,414,5402,2,8,1,0,0,0,0,0 
KUOW Public Radio,2016-07-24,26688,414,5402,2,5,0,0,0,0,0,0 
KUOW Public Radio,2016-07-23,26688,414,5402,2,7,0,0,0,0,0,0 
KUOW Public Radio,2016-07-23,26688,414,5402,6,11,0,0,2,1,0,0 
KUOW Public Radio,2016-07-23,26688,414,5402,3,6,0,0,1,0,0,0 
KUOW Public Radio,2016-07-23,26688,414,5402,3,22,3,0,0,0,0,0 
KUOW Public Radio,2016-07-23,26688,414,5402,5,10,0,0,0,0,0,0 
KUOW Public Radio,2016-07-23,26688,414,5402,3,4,0,0,0,12,0,0 
KUOW Public Radio,2016-07-23,26688,414,5402,3,4,0,0,0,0,0,0 
KUOW Public Radio,2016-07-23,26688,414,5402,7,16,0,0,0,0,0,1 
KUOW Public Radio,2016-07-23,26688,414,5402,7,7,0,0,0,0,0,0 
KUOW Public Radio,2016-07-23,26688,414,5402,11,25,0,0,2,3,0,2 
KUOW Public Radio,2016-07-23,26688,414,5402,2,3,0,0,0,4,0,0 
KUOW Public Radio,2016-07-23,26688,414,5402,9,13,0,0,0,0,0,0 
KUOW Public Radio,2016-07-23,26688,414,5402,1,14,1,0,0,0,0,0 
KUOW Public Radio,2016-07-22,26688,414,5402,3,6,0,0,0,2,0,1
